Brenden Aaronson
Zach Abbott
Terry Ablade
Adama Traoré
Che Adams
Tyler Adams
Tosin Adarabioyo
Adrián
Nayef Aguerd
Brandon Aguilera
Rayan Aït Nouri
Kristoffer Ajer
Manuel Akanji
Nathan Aké
Marc Albrighton
Alejandro Garnacho
Trent Alexander-Arnold
Alisson
Miguel Almirón
Julián Álvarez
Daniel Amartey
Joachim Andersen
Elliot Anderson
Andreas Pereira
Jaidon Anthony
Michail Antonio
Antony
Cameron Archer
Alphonse Aréola
Joe Aribo
Adam Armstrong
Stuart Armstrong
Harry Arter
Arthur
Harrison Ashby
Pierre-Emerick Aubameyang
Ludwig Augustinsson
Serge Aurier
Taiwo Awoniyi
Jordan Ayew
Luke Ayling
Ayoze Pérez
Azpilicueta
Loïc Badé
Leon Bailey
Stefan Bajčetić
Dominic Ballard
Patrick Bamford
Jamal Baptiste
Shandon Baptiste
Harvey Barnes
Gavin Bazunu
Jan Bednarek
Asmir Begović
Armel Bella-Kotchap
Saïd Benrahma
Rodrigo Bentancur
Bernardo Silva
Ryan Bertrand
Marcus Bettinelli
Giulian Biancone
Philip Billing
Yves Bissouma
Lamare Bogarde
Willy Boly
Sven Botman
Jamie Bowden
Jarrod Bowen
Armando Broja
David Brooks
Bruno Fernandes
Bruno Guimarães
Lewis Brunt
Bryan Gil
Emiliano Buendia
Dan Burn
Jack Butland
Willy Caballero
Cafú
Moisés Caicedo
Tom Cairney
Duje Ćaleta-Car
Dominic Calvert-Lewin
Leonardo Campana
Chem Campbell
Carlos Vinícius
Scott Carson
Casemiro
Matty Cash
Timothy Castagne
Cédric
Nathaniel Chalobah
Trevoh Chalobah
Calum Chambers
Luke Chambers
Ben Chilwell
Chiquinho
Ryan Christie
Carney Chukwuemeka
Cătălin Cîrjan
Bobby Clark
Regan Clayton
Nathaniel Clyne
Conor Coady
Jack Colback
Séamus Coleman
Nathan Collins
Levi Colwill
Lewis Cook
Steve Cook
Liam Cooper
Maxwel Cornet
Vladimír Coufal
Coutinho
Conor Coventry
Matthew Cox
Amario Cozier-Duberry
Aaron Cresswell
Cristiano Ronaldo
Cucurella
Luciano D'Auria-Henry
Joshua Da Silva
Patson Daka
Stuart Dallas
Mikkel Damsgaard
Daniel Podence
Karl Darlow
David Raya
Ben Davies
Harvey Davies
Tom Davies
Craig Dawson
Kevin De Bruyne
De Gea
Siriki Dembélé
Leander Dendoncker
Emmanuel Dennis
Will Dennis
Kiernan Dewsbury-Hall
Ibrahima Diallo
Luis Díaz
Diego Carlos
Diego Costa
Eric Dier
Lucas Digne
Diogo Dalot
Diogo Jota
Issa Diop
Moussa Djénépo
Matt Doherty
Aaron Donnelly
Abdoulaye Doucouré
Cheick Doucouré
Douglas Luiz
Flynn Downes
Cody Drameh
Martin Dúbravka
Shane Duffy
Paul Dummett
Lewis Dunk
Malcolm Ebiowei
Ederson
Odsonne Édouard
Samuel Edozie
Diamond Edwards
Pierre Ekwah Elimby
Anthony Elanga
Harvey Elliott
Mohamed Elneny
Mohamed Elyounoussi
Emerson
Emerson Royal
Julio Enciso
Christian Eriksen
Pervis Estupiñán
Jonny Evans
Eberechi Eze
Łukasz Fabiański
Fabinho
Fabio Carvalho
Fábio Vieira
Wout Faes
Malachi Fagan-Walcott
Josh Feeney
Evan Ferguson
Nathan Ferguson
Billy Fewster
Phil Foden
Wesley Fofana
Adam Forshaw
Fraser Forster
Chris Francis
Ryan Fraser
Fred
Ryan Fredericks
Tyler Fredricson
Remo Freuler
James Furlong
Gabriel
Gabriel Jesus
Gabriel Martinelli
Conor Gallagher
James Garner
Joe Gelhardt
Saman Ghoddos
Morgan Gibbs-White
Alex Gibson-Hammond
Mark Gillespie
Billy Gilmour
Wilfried Gnonto
Ben Godfrey
Martial Godo
Joe Gomez
Gonçalo Guedes
Charlie Goode
Anthony Gordon
Archie Gray
Demarai Gray
Jack Grealish
Ben Greenwood
Mason Greenwood
Sam Greenwood
Pascal Groß
Guaita
Marc Guehi
Idrissa Gueye
Frédéric Guilbert
İlkay Gündoğan
Darko Gyabi
Erling Haaland
Oliver Hammond
Luke Harris
Jack Harrison
Kai Havertz
Tom Heaton
Krisztián Hegyi
Karl Hein
