Name
Brenden Aaronson
Zach Abbott
Terry Ablade
Adama Traore
Che Adams
Tyler Adams
Tosin Adarabioyo
Adrian
Nayef Aguerd
Brandon Aguilera
Rayan Aït Nouri
Kristoffer Ajer
Manuel Akanji
Nathan Ake
Marc Albrighton
Alejandro Garnacho
Trent Alexander-Arnold
Alisson
Miguel Almiron
Julian Alvarez
Daniel Amartey
Joachim Andersen
Elliot Anderson
Andreas Pereira
Jaidon Anthony
Michail Antonio
Antony
Cameron Archer
Alphonse Areola
Joe Aribo
Adam Armstrong
Stuart Armstrong
Harry Arter
Arthur
Harrison Ashby
Pierre-Emerick Aubameyang
Ludwig Augustinsson
Serge Aurier
Taiwo Awoniyi
Jordan Ayew
Luke Ayling
Ayoze Perez
Azpilicueta
Loic Bade
Leon Bailey
Stefan Bajcetic
Dominic Ballard
Patrick Bamford
Jamal Baptiste
Shandon Baptiste
Harvey Barnes
Gavin Bazunu
Jan Bednarek
Asmir Begovic
Armel Bella-Kotchap
Said Benrahma
Rodrigo Bentancur
Bernardo Silva
Ryan Bertrand
Marcus Bettinelli
Giulian Biancone
Philip Billing
Yves Bissouma
Lamare Bogarde
Willy Boly
Sven Botman
Jamie Bowden
Jarrod Bowen
Armando Broja
David Brooks
Bruno Fernandes
Bruno Guimaraes
Lewis Brunt
Bryan Gil
Emiliano Buendia
Dan Burn
Jack Butland
Willy Caballero
Cafu
Moises Caicedo
Tom Cairney
Duje Caleta-Car
Dominic Calvert-Lewin
Leonardo Campana
Chem Campbell
Carlos Vinícius
Scott Carson
Casemiro
Matty Cash
Timothy Castagne
Cedric
Nathaniel Chalobah
Trevoh Chalobah
Calum Chambers
Luke Chambers
Ben Chilwell
Chiquinho
Ryan Christie
Carney Chukwuemeka
Catalin Cirjan
Bobby Clark
Regan Clayton
Nathaniel Clyne
Conor Coady
Jack Colback
Seamus Coleman
Nathan Collins
Levi Colwill
Lewis Cook
Steve Cook
Liam Cooper
Maxwel Cornet
Vladimir Coufal
Coutinho
Conor Coventry
Matthew Cox
Amario Cozier-Duberry
Aaron Cresswell
Cristiano Ronaldo
Cucurella
Luciano D'Auria-Henry
Joshua Da Silva
Patson Daka
Stuart Dallas
Mikkel Damsgaard
Daniel Podence
Karl Darlow
David Raya
Ben Davies
Harvey Davies
Tom Davies
Craig Dawson
Kevin De Bruyne
De Gea
Siriki Dembele
Leander Dendoncker
Emmanuel Dennis
Will Dennis
Kiernan Dewsbury-Hall
Ibrahima Diallo
Luis Diaz
Diego Carlos
Diego Costa
Eric Dier
Lucas Digne
Diogo Dalot
Diogo Jota
Issa Diop
Moussa Djenepo
Matt Doherty
Aaron Donnelly
Abdoulaye Doucoure
Cheick Doucoure
Douglas Luiz
Flynn Downes
Cody Drameh
Martin DUbravka
Shane Duffy
Paul Dummett
Lewis Dunk
Malcolm Ebiowei
Ederson
Odsonne Edouard
Samuel Edozie
Diamond Edwards
Pierre Ekwah Elimby
Anthony Elanga
Harvey Elliott
Mohamed Elneny
Mohamed Elyounoussi
Emerson
Emerson Royal
Julio Enciso
Christian Eriksen
Pervis Estupinan
Jonny Evans
Eberechi Eze
Lukasz Fabianski
Fabinho
Fabio Carvalho
Fabio Vieira
Wout Faes
Malachi Fagan-Walcott
Josh Feeney
Evan Ferguson
Nathan Ferguson
Billy Fewster
Phil Foden
Wesley Fofana
Adam Forshaw
Fraser Forster
Chris Francis
Ryan Fraser
Fred
Ryan Fredericks
Tyler Fredricson
Remo Freuler
James Furlong
Gabriel
Gabriel Jesus
Gabriel Martinelli
Conor Gallagher
James Garner
Joe Gelhardt
Saman Ghoddos
Morgan Gibbs-White
Alex Gibson-Hammond
Mark Gillespie
Billy Gilmour
Wilfried Gnonto
Ben Godfrey
Martial Godo
Joe Gomez
Goncalo Guedes
Charlie Goode
Anthony Gordon
Archie Gray
Demarai Gray
Jack Grealish
Ben Greenwood
Mason Greenwood
Sam Greenwood
Pascal GroB
Guaita
Marc Guehi
Idrissa Gueye
Frederic Guilbert
ilkay Gundogan
Darko Gyabi
Erling Haaland
Oliver Hammond
Luke Harris
Jack Harrison
Kai Havertz
Tom Heaton
Krisztián Hegyi
Karl Hein
Dean Henderson
Jordan Henderson
